==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
4.98384s  1.1230ms  cudaMemcpyAsync
4.98497s  64.791us  cudaStreamSynchronize
4.98512s  13.397us  cudaMemcpyAsync
4.98514s  6.8580us  cudaStreamSynchronize
4.98518s  15.000us  cudaMemcpyAsync
4.98520s  6.0200us  cudaStreamSynchronize
4.98671s  16.328us  cudaMemcpyAsync
4.98672s  7.8520us  cudaStreamSynchronize
4.98677s  5.5670us  cudaMemcpyAsync
4.98678s  6.1760us  cudaStreamSynchronize
4.98680s  4.4990us  cudaMemcpyAsync
4.98681s  6.0780us  cudaStreamSynchronize
4.98687s  454.19us  cudaMemcpyAsync
4.98733s  33.934us  cudaStreamSynchronize
4.98743s  8.9810us  cudaMemcpyAsync
4.98744s  6.8990us  cudaStreamSynchronize
4.98750s  16.736us  cudaMemcpyAsync
4.98752s  6.2570us  cudaStreamSynchronize
4.98757s  6.2830us  cudaMemcpyAsync
4.98757s  6.4650us  cudaStreamSynchronize
4.98760s  5.1450us  cudaMemcpyAsync
4.98760s  6.3230us  cudaStreamSynchronize
4.98765s  12.009us  cudaMemcpyAsync
4.98766s  5.9430us  cudaStreamSynchronize
4.98773s  454.97us  cudaMemcpyAsync
4.98818s  37.137us  cudaStreamSynchronize
4.98828s  8.5490us  cudaMemcpyAsync
4.98829s  6.8090us  cudaStreamSynchronize
4.98833s  5.4270us  cudaMemcpyAsync
4.98834s  6.1820us  cudaStreamSynchronize
4.98838s  13.884us  cudaMemcpyAsync
4.98840s  6.0690us  cudaStreamSynchronize
4.98842s  5.0270us  cudaMemcpyAsync
4.98842s  6.1850us  cudaStreamSynchronize
4.98846s  12.340us  cudaMemcpyAsync
4.98847s  5.9200us  cudaStreamSynchronize
4.98851s  1.0287ms  cudaMemcpyAsync
4.98954s  69.598us  cudaStreamSynchronize
4.98969s  11.778us  cudaMemcpyAsync
4.98970s  7.1300us  cudaStreamSynchronize
4.98974s  5.5430us  cudaMemcpyAsync
4.98974s  6.1750us  cudaStreamSynchronize
4.98979s  5.9010us  cudaMemcpyAsync
4.98979s  6.1030us  cudaStreamSynchronize
4.98983s  5.2280us  cudaMemcpyAsync
4.98983s  6.0970us  cudaStreamSynchronize
4.98987s  11.842us  cudaMemcpyAsync
4.98988s  6.1070us  cudaStreamSynchronize
4.98992s  168.44us  cudaMalloc
4.99010s  471.99us  cudaMemcpyAsync
4.99058s  37.820us  cudaStreamSynchronize
4.99069s  18.825us  cudaMemcpyAsync
4.99071s  6.9140us  cudaStreamSynchronize
4.99076s  6.1980us  cudaMemcpyAsync
4.99076s  6.4710us  cudaStreamSynchronize
4.99081s  6.9110us  cudaMemcpyAsync
4.99081s  6.6470us  cudaStreamSynchronize
4.99084s  6.9400us  cudaMemcpyAsync
4.99085s  6.3010us  cudaStreamSynchronize
4.99088s  11.878us  cudaMemcpyAsync
4.99089s  5.8220us  cudaStreamSynchronize
4.99097s  451.48us  cudaMemcpyAsync
4.99142s  35.694us  cudaStreamSynchronize
4.99153s  10.419us  cudaMemcpyAsync
