==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
4.96275s     250ns  cudaGetDevice
4.96275s     249ns  cudaGetDevice
4.96275s     246ns  cudaGetDevice
4.96275s     448ns  cudaSetDevice
4.96275s     280ns  cudaSetDevice
4.96277s     406ns  cudaGetDevice
4.96277s     254ns  cudaGetDevice
4.96277s  5.1730us  cudaMemcpyAsync
4.96277s  6.0460us  cudaStreamSynchronize
4.96278s     401ns  cudaSetDevice
4.96309s     875ns  cudaGetDevice
4.96309s     261ns  cudaGetDevice
4.96309s     256ns  cudaGetDevice
4.96309s     261ns  cudaGetDevice
4.96310s     275ns  cudaGetDevice
4.96310s     249ns  cudaGetDevice
4.96310s     252ns  cudaGetDevice
4.96310s     585ns  cudaSetDevice
4.96310s     297ns  cudaSetDevice
4.96311s     412ns  cudaGetDevice
4.96311s     251ns  cudaGetDevice
4.96311s  45.618us  cudaMemcpyAsync
4.96316s  8.9530us  cudaStreamSynchronize
4.96317s     409ns  cudaSetDevice
4.96323s     706ns  cudaGetDevice
4.96323s     280ns  cudaGetDevice
4.96323s     256ns  cudaGetDevice
4.96323s     267ns  cudaGetDevice
4.96323s     251ns  cudaGetDevice
4.96323s     254ns  cudaGetDevice
4.96323s     249ns  cudaGetDevice
4.96323s     584ns  cudaSetDevice
4.96323s     273ns  cudaSetDevice
4.96324s     426ns  cudaGetDevice
4.96324s     243ns  cudaGetDevice
4.96324s  13.778us  cudaMemcpyAsync
4.96326s  5.9950us  cudaStreamSynchronize
4.96327s     462ns  cudaSetDevice
4.96331s     591ns  cudaGetDevice
4.96331s     270ns  cudaGetDevice
4.96331s     256ns  cudaGetDevice
4.96331s     269ns  cudaGetDevice
4.96331s     249ns  cudaGetDevice
4.96331s     247ns  cudaGetDevice
4.96331s     248ns  cudaGetDevice
4.96331s     492ns  cudaSetDevice
4.96331s     275ns  cudaSetDevice
4.96332s     403ns  cudaGetDevice
4.96332s     249ns  cudaGetDevice
4.96332s  6.0880us  cudaMemcpyAsync
4.96333s  8.1820us  cudaStreamSynchronize
4.96334s     400ns  cudaSetDevice
4.96336s     589ns  cudaGetDevice
4.96336s     263ns  cudaGetDevice
4.96336s     252ns  cudaGetDevice
4.96336s     266ns  cudaGetDevice
4.96336s     255ns  cudaGetDevice
4.96336s     248ns  cudaGetDevice
4.96336s     247ns  cudaGetDevice
4.96336s     466ns  cudaSetDevice
4.96336s     275ns  cudaSetDevice
4.96338s     443ns  cudaGetDevice
4.96338s     251ns  cudaGetDevice
4.96338s  5.6600us  cudaMemcpyAsync
4.96338s  6.1210us  cudaStreamSynchronize
4.96339s     403ns  cudaSetDevice
4.96341s     556ns  cudaGetDevice
4.96341s     262ns  cudaGetDevice
4.96341s     263ns  cudaGetDevice
4.96342s     358ns  cudaGetDevice
4.96342s     249ns  cudaGetDevice
4.96342s     246ns  cudaGetDevice
4.96342s     251ns  cudaGetDevice
4.96342s     496ns  cudaSetDevice
4.96342s     270ns  cudaSetDevice
4.96343s     409ns  cudaGetDevice
4.96343s     246ns  cudaGetDevice
4.96343s  12.754us  cudaMemcpyAsync
4.96345s  5.9690us  cudaStreamSynchronize
4.96345s     390ns  cudaSetDevice
4.96346s     496ns  cudaGetDevice
4.96347s     257ns  cudaGetDevice
4.96347s     255ns  cudaGetDevice
4.96347s     263ns  cudaGetDevice
4.96347s     253ns  cudaGetDevice
4.96347s     248ns  cudaGetDevice
4.96347s     246ns  cudaGetDevice
4.96347s     419ns  cudaSetDevice
4.96347s     276ns  cudaSetDevice
4.96350s     469ns  cudaGetDevice
4.96350s     250ns  cudaGetDevice
4.96350s  13.722us  cudaMemcpyAsync
4.96352s  6.0680us  cudaStreamSynchronize
4.96352s     517ns  cudaSetDevice
4.96355s     589ns  cudaGetDevice
4.96355s     302ns  cudaGetDevice
4.96355s     258ns  cudaGetDevice
4.96355s     269ns  cudaGetDevice
4.96355s     255ns  cudaGetDevice
4.96355s     246ns  cudaGetDevice
4.96355s     255ns  cudaGetDevice
4.96356s     451ns  cudaSetDevice
4.96356s     273ns  cudaSetDevice
4.96357s     417ns  cudaGetDevice
4.96357s     249ns  cudaGetDevice
4.96357s  254.49us  cudaMemcpyAsync
4.96382s  26.155us  cudaStreamSynchronize
4.96385s     407ns  cudaSetDevice
4.96406s  3.0340us  cudaGetDevice
4.96407s     339ns  cudaGetDevice
4.96407s     257ns  cudaGetDevice
4.96407s     272ns  cudaGetDevice
4.96408s     256ns  cudaGetDevice
4.96408s     245ns  cudaGetDevice
4.96408s     258ns  cudaGetDevice
4.96408s  1.8570us  cudaSetDevice
4.96409s     290ns  cudaSetDevice
4.96409s     306ns  cudaGetDevice
4.96409s     253ns  cudaGetDevice
4.96410s  30.028us  cudaMemcpyAsync
4.96413s  6.9460us  cudaStreamSynchronize
4.96413s     473ns  cudaSetDevice
4.96417s     737ns  cudaGetDevice
4.96417s     262ns  cudaGetDevice
4.96418s     269ns  cudaGetDevice
4.96418s     269ns  cudaGetDevice
4.96418s     255ns  cudaGetDevice
4.96418s     247ns  cudaGetDevice
4.96418s     245ns  cudaGetDevice
4.96418s     477ns  cudaSetDevice
4.96418s     275ns  cudaSetDevice
4.96419s     419ns  cudaGetDevice
4.96419s     246ns  cudaGetDevice
4.96419s  29.773us  cudaMemcpyAsync
4.96422s  6.1760us  cudaStreamSynchronize
4.96423s     462ns  cudaSetDevice
4.96426s  2.6280us  cudaGetDevice
4.96427s     297ns  cudaGetDevice
4.96427s     257ns  cudaGetDevice
4.96427s     265ns  cudaGetDevice
4.96427s     249ns  cudaGetDevice
4.96427s     247ns  cudaGetDevice
4.96427s     251ns  cudaGetDevice
4.96427s     489ns  cudaSetDevice
4.96427s     290ns  cudaSetDevice
4.96428s     403ns  cudaGetDevice
4.96428s     248ns  cudaGetDevice
4.96428s  13.613us  cudaMemcpyAsync
